id,nombre,edad,carrera,nota_final,aprobado
1,Ana,18,Matematicas,7.5,True
2,Luis,19,Fisica,8.2,True
3,Maria,20,Quimica,6.8,True
4,Carlos,18,Matematicas,,False
5,Sofia,21,Biologia,9.1,True
6,Pedro,19,Fisica,5.5,False
7,Lucia,22,Matematicas,7.0,True
8,Javier,18,Quimica,8.8,True
9,Elena,20,Biologia,,False
10,Miguel,19,Fisica,6.3,True
11,Laura,21,Matematicas,9.5,True
12,David,23,Quimica,7.2,True
13,Carmen,18,Biologia,8.0,True
14,Pablo,20,Fisica,6.5,True
15,Isabel,19,Matematicas,,False
16,Diego,22,Quimica,7.8,True
17,Marta,18,Biologia,8.5,True
18,Adrian,21,Matematicas,9.0,True
19,Nuria,20,Fisica,6.0,True
20,Ruben,19,Quimica,7.4,True
